registro_operadora;operadora;ciclo;percentual;periodo_aplicacao;oficio;observacao;fonte
005711;Bradesco Saúde S.A.;2020;9.26;julho/2020 a junho/2021;Ofício nº 213/2020/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2020;9.26;julho/2020 a junho/2021;Ofício nº 212/2020/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2020;8.56;junho/2020 a maio/2021;Ofício nº 211/2020/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2020;9.26;julho/2020 a junho/2021;Ofício nº 210/2020/GEFAP/GGREP/DIRAD-DIPRO/DIPRO;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2019;8.47;julho/2019 a junho/2020;Ofício nº 29/2019/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2019;8.47;julho/2019 a junho/2020;Ofício nº 30/2019/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2019;7.77;junho/2019 a maio/2020;Ofício nº 32/2019/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2019;8.47;julho/2019 a junho/2020;Ofício nº 31/2019/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2018;11.14;julho/2018 a junho/2019;Ofício nº 104/2018/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2018;11.14;julho/2018 a junho/2019;Ofício nº 105/2018/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2018;10.43;junho/2018 a maio/2019;Ofício nº 92/2018/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2018;11.14;julho/2018 a junho/2019;Ofício nº 106/2018/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2017;14.73;julho/2017 a junho/2018;Ofício nº 2002/2017/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2017;14.73;julho/2017 a junho/2018;Ofício nº 2003/2017/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2017;13.99;junho/2017 a maio/2018;Ofício nº 2004/2017/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2017;14.73;julho/2017 a junho/2018;Ofício nº 2005/2017/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2016;13.47;julho/2016 a junho/2017;Ofício nº 001/2016/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2016;13.47;julho/2016 a junho/2017;Ofício nº 002/2016/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2016;14.01;junho/2016 a maio/2017;Ofício nº 004/2016/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2016;13.47;julho/2016 a junho/2017;Ofício nº 003/2016/DIPRO/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2015;13.31;julho/2015 a junho/2016;Ofício nº 358/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2015;13.31;julho/2015 a junho/2016;Ofício nº 360/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2015;13.99;junho/2015 e maio/2016;Ofício nº 359/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2015;13.31;julho/2015 a junho/2016;Ofício nº 357/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2014;10.79;julho/2014 a junho/2015;Ofício nº 421/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2014;10.79;julho/2014 a junho/2015;Ofício nº 420/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2014;9.65;junho/2014 a maio/2015;Ofício nº 419/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2014;10.79;julho/2014 a junho/2015;Ofício nº 418/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2013;10.17;julho/2013 a junho/2014;Ofício nº 565/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2013;10.17;julho/2013 a junho/2014;Ofício nº 566/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2013;9.04;junho/2013 a maio/2014;Ofício nº 568/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2013;10.17;julho/2013 a junho/2014;Ofício nº 569/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2013;9.47;julho/2013 a junho/2014;Ofício nº 567/ANS/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2012;9.37;julho/2012 a junho/2013;Ofício nº 475/2012/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2012;9.37;julho/2012 a junho/2013;Ofício nº 477/2012/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2012;7.93;agosto/2012 a maio/2013;Ofício nº 478/2012/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2012;9.37;julho/2012 a junho/2013;Ofício nº 476/2012/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2012;7.93;julho/2012 a junho/2013;Ofício nº 479/2012/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2011;7.35;julho/2011 a junho/2012;1138/2011/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2011;7.35;julho/2011 a junho/2012;1137/2011/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2011;7.15;julho/2011 a maio/2012;1140/2011/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2011;7.35;julho/2011 a junho/2012;1139/2011/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2011;7.15;julho/2011 a junho/2012;1141/2011/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2010;10.91;julho/2010 a junho/2011;Ofício n° 943/2010/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2010;10.91;julho/2010 a junho/2011;Ofício n° 941/2010/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2010;7.30;julho/2010 a maio/2011;Ofício n°944/2010/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2010;10.91;julho/2010 a junho/2011;Ofício n° 940/2010/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2010;7.30;julho/2010 a junho/2011;Ofício n° 942/2010/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2009;6.76;agosto/2009 a junho/2010;Ofício n° 651/2009/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2009;6.76;agosto/2009 a junho/2010;Ofício n° 652/2009/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2009;6.76;agosto/2009 a maio/2010;Ofício n° 648/2009/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2009;6.76;agosto/2009 a junho/2010;Ofício n° 649/2009/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2009;6.76;agosto/2009 a junho/2010;Ofício n° 650/2009/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2008;7.12;julho/2008 a junho/2009;Ofício n° 490/2008/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2008;7.12;julho/2008 a junho/2009;Ofício n° 491/2008/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2008;6.24;junho/2008 a maio/2009;Ofício n° 513/2008/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2008;7.12;julho/2008 a junho/2009;Ofício n° 489/2008/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2008;6.24;julho/2008 a junho/2009;Ofício n° 512/2008/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2007;9.94;julho/2007 a junho/2008;Ofício n° 226/2007/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2007;9.94;julho/2007 a junho/2008;Ofício n° 225/2007/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2007;6.64;junho/2007 a maio/2008;Ofício n° 228/2007/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2007;9.94;julho/2007 a junho/2008;Ofício n° 224/2007/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2007;6.64;julho/2007 a junho/2008;Ofício n° 227/2007/PRESI/ANS;;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2006;11.57;julho/2006 a junho/2007;Ofício n° 158/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
006246;Sul América Companhia de Seguro Saúde;2006;11.57;julho/2006 a junho/2007;Ofício n° 157/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
326305;Amil Assistência Médica Internacional S.A.;2006;11.46;junho/2006 a maio/2007;Ofício n° 152/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000884;Itaúseg Saúde S.A.;2006;11.57;julho/2006 a junho/2007;Ofício n° 159/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
403911;Golden Cross Assistência Internacional de Saúde Ltda.;2006;11.46;julho/2006 a junho/2007;Ofício n° 151/2006/PRESI/ANS;Reajuste referente a 2006;ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
000582;Porto Seguro - Seguro Saúde S.A.;2006;14.83;julho/2006 a junho/2007;Ofício n° 197/2006/PRESI/ANS;Percentual final = resíduo (2.92%) + reajuste 2006 (11.57%);ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
005711;Bradesco Saúde S.A.;2005;25.80;julho/2005 a junho/2006;Ofício n° 212/2005/ GGEFP/DIPRO;Percentual final = resíduo 2004 (8.76%) + reajuste 2005 (15.67%);ANS — Histórico dos reajustes autorizados para planos individuais antigos por Termo de Compromisso
